ir_raw,ir_ac,red_raw,bpm
63909.0,-105.3,78064.0,0.0
63923.0,-87.6,78090.0,0.0
63947.0,-61.1,78104.0,0.0
63963.0,-43.3,78134.0,0.0
63953.0,-51.1,78123.0,0.0
63946.0,-55.8,78113.0,0.0
63956.0,-44.0,78138.0,0.0
63975.0,-24.0,78168.0,0.0
63983.0,-15.3,78185.0,0.0
63993.0,-5.1,78217.0,0.0
64019.0,20.0,78260.0,0.0
64024.0,24.0,78276.0,0.0
64025.0,24.0,78274.0,0.0
64044.0,41.3,78312.0,0.0
64043.0,38.7,78321.0,0.0
63981.0,-22.4,78235.0,0.0
63904.0,-95.4,78105.0,0.0
63866.0,-128.1,78039.0,0.0
63879.0,-110.5,78060.0,0.0
63912.0,-74.4,78104.0,0.0
63941.0,-43.5,78151.0,0.0
63951.0,-32.2,78164.0,0.0
63945.0,-36.7,78174.0,0.0
63940.0,-40.0,78173.0,0.0
63950.0,-28.8,78186.0,0.0
63960.0,-18.1,78202.0,0.0
63976.0,-2.0,78219.0,0.0
63989.0,10.6,78242.0,0.0
63999.0,19.8,78260.0,0.0
64010.0,29.5,78280.0,0.0
64017.0,35.1,78299.0,0.0
64014.0,30.8,78299.0,0.0
64025.0,40.1,78312.0,0.0
64009.0,23.2,78310.0,0.0
63927.0,-56.5,78173.0,0.0
63861.0,-117.6,78062.0,0.0
63858.0,-115.8,78047.0,0.0
63886.0,-84.3,78087.0,0.0
63895.0,-72.2,78102.0,0.0
63924.0,-41.5,78136.0,0.0
63927.0,-37.0,78149.0,0.0
63919.0,-43.2,78153.0,0.0
63913.0,-47.2,78143.0,0.0
63927.0,-31.9,78158.0,0.0
63938.0,-20.0,78176.0,0.0
63956.0,-2.0,78198.0,0.0
63961.0,2.9,78210.0,0.0
63965.0,6.6,78217.0,0.0
63973.0,14.1,78223.0,0.0
63982.0,22.1,78260.0,0.0
63994.0,32.8,78269.0,0.0
63981.0,19.0,78260.0,0.0
63909.0,-50.9,78156.0,0.0
63844.0,-111.3,78040.0,0.0
63820.0,-129.9,77989.0,0.0
63838.0,-107.4,78020.0,0.0
63858.0,-83.9,78048.0,0.0
63879.0,-60.4,78075.0,0.0
63893.0,-44.5,78105.0,0.0
63890.0,-45.6,78120.0,0.0
63891.0,-42.8,78120.0,0.0
63896.0,-36.3,78125.0,0.0
63900.0,-31.0,78128.0,0.0
63910.0,-20.2,78147.0,0.0
63929.0,-1.1,78183.0,0.0
63927.0,-3.0,78184.0,0.0
63940.0,9.6,78202.0,0.0
63958.0,26.5,78228.0,0.0
63967.0,34.1,78248.0,0.0
63916.0,-16.3,78187.0,0.0
63838.0,-90.5,78056.0,0.0
63801.0,-122.4,77988.0,0.0
63801.0,-117.5,77974.0,0.0
63822.0,-92.6,78008.0,0.0
63846.0,-65.9,78035.0,0.0
63865.0,-45.0,78065.0,0.0
63852.0,-55.7,78059.0,0.0
63845.0,-60.2,78045.0,0.0
63846.0,-56.8,78044.0,0.0
63855.0,-45.9,78058.0,0.0
63868.0,-31.6,78081.0,0.0
63880.0,-18.8,78098.0,0.0
63892.0,-6.5,78125.0,0.0
63885.0,-13.0,78129.0,0.0
63894.0,-3.8,78143.0,0.0
63901.0,3.0,78148.0,0.0
63881.0,-16.3,78122.0,0.0
63807.0,-86.7,78002.0,0.0
63762.0,-126.4,77924.0,0.0
